Ano base,UF,Classe Substancia Mineral,Substancia Mineral,Quantidade (litros) Garrafao,Quantidade (litros) Garrafa Plastica,Quantidade (litros) Garrafa de Vidro,Quantidade (litros) Copo,Quantidade (litros) Outras Embalagens,Valor (R$) Garrafao,Valor (R$) Garrafa Plastica,Valor (R$) Garrafa de Vidro,Valor (R$) Copo,Valor (R$) Outras Embalagens,Quantidade (litros) Composiçao Produtos Industrializados,Valor (R$) Composiçao Produtos Industrializados,Unidade de Medida
2014,ES,Água,Água,76440170,"12931890,32",182807,"556197,2",0,3953237,"9107395,36","261287,36","332243,53",0,0,0,l
2014,GO,Água,Água,131306636,"55718371,42",0,2774021,8594403,"28927882,59","45362979,38",0,"2439376,84","7468727,13","67141987,3","34022407,22",l
2014,MA,Água,Água,"81202218,4","21405028,54",0,"1566250,2",494700,"12611771,81","22972759,35",0,"1924987,08",378915,"64648011,2","40483,54",l
2014,MG,Água,Água,"209852265,5","191985932,1",566401,"5968107,13",1021834,"26961106,51","170145022,2",1113371,"5623351,94","386219,66","726128,34","57976,22",l
2014,MS,Água,Água,"42468229,6","11628102,19",0,"619704,24",671657,"5492091,15","11725856,41",0,"623587,31","415216,03","13095795,82","13226,75",l
2014,MT,Água,Água,"222698275,9","32124469,63",0,"2596294,6",0,"33609865,97","34463459,2",0,"2967082,22",0,0,0,l
2014,PA,Água,Água,"228946489,8","40020697,8",0,"2529161,88",0,"21230893,45","22150185,78",0,"1670237,36",0,646389000,80877,l
2014,PB,Água,Água,225859876,"24073235,96",0,"1064668,53",0,"18887664,1","18175131,08",0,"1787764,52",0,87957093,"40693630,34",l
2014,PE,Água,Água,"846344270,2","15438232,6","262555,2","922421,65","504540,55","75241422,26","12294320,56","224409,25","892161,7","82592,43","769564333,8","159172,46",l
2014,PI,Água,Água,27827660,9775880,0,745941,0,"3292159,93","11500506,85",0,"1032022,01",0,0,0,l
2014,PR,Água,Água,"136982679,7","40178062,59",771996,"3935552,8","111261,6","27456813,97","42513843,98","998830,02","3910576,42","455639,38","53636653,8","5095234,06",l
2014,RJ,Água,Água,"205819433,3","99054097,36",0,"4111166,6",4110800,"25922884,87","68431114,57",0,"3844561,16","189251,5",7356011,"40550,77",l
2014,RN,Água,Água,"321412991,3","8768082,48",0,"1344371,44",0,"18369952,09","12859033,79",0,"1515819,89",0,0,0,l
2014,RO,Água,Água,137405687,15482143,0,"1173228,6",0,"14527714,28","13636151,76",0,"1262308,33",0,0,0,l
2014,RR,Água,Água,"6608436,91","3533017,48",0,0,0,"1694269,57","3764883,45",0,0,0,0,0,l
2014,RS,Água,Água,"150906360,9","223639603,7",230820,"3502487,69","47227,5","37736103,08","245790175,8","401759,6","5208757,91","16144,5","76043298,1","42912,1",l
2014,SC,Água,Água,182812996,"46503393,78",15504,"2078385,32",2806108,"35283968,35","35620018,49","22464,46","2303401,35","1507200,08","1297257,6","1803748,8",l
2014,SE,Água,Água,162928150,"19131522,12",0,"5429804,8",0,"25478624,74","16375235,96",0,"3362521,69",0,"2180159,88","2955521,99",l
2014,SP,Água,Água,"674590765,8","869260634,5","7359242,8","34490197,4","6805040,03","93731039,49","657376694,7","7512296,11","30492548,98","9077341,94",160532975,"17812816,05",l
2014,TO,Água,Água,31407604,2651438,0,"193621,2",0,"2363083,51","2153057,49",0,"164865,22",0,0,0,l
2015,AC,Água,Água,67989416,1139537,0,0,0,"5005492,81","545524,75",0,0,0,0,0,l
2015,AL,Água,Água,"265317290,8","63627869,09",0,"2864226,8",0,"21963262,91","82030829,92",0,"3689345,32",0,0,0,l
2015,AM,Água,Água,189548757,"36401747,04",0,"1662365,4",0,"17472379,42","29914885,36",0,"1354914,63",0,27602331,"11328,74",l
2015,AP,Água,Água,62178820,"15046097,8",0,66730,0,"2063433,21","916535,84",0,"52435,53",0,0,0,l
2015,BA,Água,Água,703177758,"112005793,3",0,9991716,0,"63700412,75","96451619,63",0,"7899073,79",0,1299768662,"62787040,03",l
2015,CE,Água,Água,"413544603,2","40719773,08",0,"1338270,42",0,"62223330,49","44239973,73",0,"2429646,43",0,13193168,"4590823,59",l
2015,DF,Água,Água,"54294076,29","18264375,62",0,"852608,92",0,"11143901,53","5246789,9",0,"750126,02",0,0,0,l
2015,ES,Água,Água,96741035,"16101191,28",197905,491739,0,"6535209,33","13306841,1","462559,81","429674,5",0,0,0,l
2015,GO,Água,Água,134192416,"53264903,5",0,1859958,4103885,"28924754,57","54526061,13",0,"1832831,52","4107849,52","19852610,3","75427,35",l
2015,MA,Água,Água,75564400,"15405052,82",0,"720661,8",759366,"10054495,36","18653761,97",0,"1053740,87","547488,68","17892282,7","37082,49",l
2015,MG,Água,Água,"231104159,7","167954960,9","549648,2","6476807,72",2831912,"30157635,75","153590522,8","677217,83","6308976,76","1005053,6","651036,2","65735,59",l
2015,MS,Água,Água,36805100,"7076625,06",0,"677871,13","680619,64","5373492,33","7677875,73",0,"616196,24","412945,99","9262165,16","9262,18",l
2015,MT,Água,Água,232690362,"34176484,42",0,"2418560,08",0,"96945947,09","33098906,68",0,"2617837,28",0,"28977,39","899036,91",l
2015,PA,Água,Água,"191521764,6","35308349,22",0,"1582226,8",0,"18951628,85","21374869,5",0,"895153,35",0,610856000,"202945,36",l
2015,PB,Água,Água,"243609443,2","50806192,26",0,"1776600,49",471,"20282495,27","36497609,53",0,"2278857,69",367,64174461,"49393597,69",l
2015,PE,Água,Água,"742071808,7","21365348,53","269990,4","5963247,45",2645292,"78617979,6","19449692,86","237488,87","4679402,26",975396,"578780563,5","826923,3",l
2015,PI,Água,Água,30426920,"5154349,7",0,"564439,2",0,"3860138,67","4610155,33",0,"839272,13",0,0,0,l
2015,PR,Água,Água,"137494611,8","54105551,86",770004,"5236428,04","25225,2","29378386,83","57480609,5","1055200,21","5421150,47","39424,98",55410225,"4241871,61",l
2015,RJ,Água,Água,"203931867,8",111887714,0,"3351363,4",6983900,"26901124,62","120452355,8",0,"3474098,33","183356,5",7112433,"35599,63",l
2015,RN,Água,Água,410883419,"24182667,1",0,"1462761,6",0,"22378730,41","23279561,46",0,"1462117,28",0,0,0,l
2015,RO,Água,Água,"155416530,6","16196705,35",0,"1088620,76",0,"17939224,61","15848013,23",0,"1149329,48",0,0,0,l
2015,RR,Água,Água,7383880,"3227148,44",0,"27550,08",0,"2187724,76","3838637,9",0,70043,0,0,0,l
2015,RS,Água,Água,"168660093,9","213330184,8","215100,01","3534201,78",50334,"40699420,67","235043820,3","287482,36","4991931,44","52025,43","67954096,5","102004,17",l
2015,SC,Água,Água,189491329,"46325208,98",31621,"1665431,33",2556148,"37734902,17","36980995,79","44747,24","2027004,82","1420198,62",932580,852470,l
2015,SE,Água,Água,163000700,"16079325,73",0,"3195492,2",0,"26397109,82","15719662,66",0,2640178,0,0,0,l
2015,SP,Água,Água,"875437050,3","929571483,6","7324770,28","37224934,92","26916300,83","121327277,6","704734026,8","9916937,43","32439041,56","20658571,57","121218218,8","23118147,96",l
2015,TO,Água,Água,"31227756,21","3169340,93",0,"104511,39",717,"2605165,57","2733565,79",0,"90090,28","2054,72",0,0,l
2016,AC,Água,Água,46003802,978445,0,0,0,"3260827,42","625447,9",0,0,0,0,0,l
2016,AL,Água,Água,"282637274,4",84213620,0,1779157,0,"24078648,24","101551431,9",0,"2491290,25",0,0,0,l
2016,AM,Água,Água,192247732,"34293612,98",0,1388689,0,"14092009,39","28801220,59",0,"1266539,63",0,27602331,"11328,74",l
2016,AP,Água,Água,69232388,15297226,0,"42230,4",0,"2729372,9","1259288,93",0,"57931,31",0,0,0,l
2016,BA,Água,Água,"602046191,2","136325280,8",0,"9192480,4",168772,63256970,101431011,0,"7379714,04","136785,06","706942178,1","87403728,37",l
2016,CE,Água,Água,543553015,"65616347,12",0,"1439313,7",0,"82200274,85","69912126,98",0,"2628765,57",0,"54072513,23","62448404,26",l
2016,DF,Água,Água,"59211337,26","10153181,28",0,"487761,82",0,"10938891,65","7036791,88",0,"713764,09",0,0,0,l
2016,ES,Água,Água,"78917664,33","12591885,41",196655,"475881,8",180,"6142686,09","12107675,11","673765,36","538252,55",42,0,0,l
2016,GO,Água,Água,"119368528,5","51917531,42",0,"1613905,8","7998347,5","23946568,66","35352189,51",0,"2086500,44","2031492,8","25430570,38","186767,94",l
2016,MA,Água,Água,97279060,"13754217,4",0,721431,811872,"11162523,3","26359288,94",0,"1076926,28","572770,38","85891616,6","66529,85",l
2016,MG,Água,Água,"224901341,5","174950172,8","399720,6","6742307,47","3659913,04","30356679,79","161486437,7","339252,72","5616409,56","1839130,76","572918,82","57294,55",l
2016,MS,Água,Água,31773281,"7754616,92",0,"519273,1",856407,"5095304,83","8929519,93",0,"528513,44","561732,04","9805862,4","9805,87",l
2016,MT,Água,Água,"952838284,4","26779386,27",0,"2102867,6",4022509,"55139910,74","29266229,58",0,"2743050,87","6777112,72",0,0,l
2016,PA,Água,Água,"198194225,2","38122314,77",0,"1973075,6","944803,56","22036213,13","24871640,63",0,"2077345,23",0,242183000,"151821,53",l
2016,PB,Água,Água,261140654,"47475927,24",0,"845548,2",0,"23563049,71","28333935,78",0,"1687178,58",0,"110695961,3","99052216,94",l
2016,PE,Água,Água,"632249866,7","28124844,04",267420,"966755,84",2487751,"63292623,36","28618817,52","235385,29","1282731,28","1024943,43","356696132,1","212824,43",l
2016,PI,Água,Água,21945542,379042,0,2119,0,"2510166,11","350856,84",0,"27481,37",0,0,0,l
2016,PR,Água,Água,"123511430,9","52648315,35",860400,"25242662,42",0,"28164788,06","60828617,76","1059671,66","5915586,59",0,53356250,"3836209,69",l
2016,RJ,Água,Água,"164818556,2","110906181,3",0,"3142628,32",323854,"24249033,62","89838926,07",0,"4929857,16","152702,62","5491375,5","31159,38",l
2016,RN,Água,Água,383838755,40051598,0,"2223845,8",0,"20898677,12","27306455,29",0,"923811,92",0,0,0,l
2016,RO,Água,Água,"125053710,4",14128789,0,1122374,0,"15749770,39","13311475,67",0,"1182333,71",0,0,0,l
